link,rank,section,run_time,pub_time,publication,headline
https://apple.news/ABadSWu30Th6f2DGGS18Raw,1,top,2026-03-05 13:33:07,2026-03-05 13:31:08,The Wall Street Journal,"Kristi Noem has been replaced as Homeland Security secretary, Trump says"
https://apple.news/AJ_5NWAU4QuiAnsCKkYahVA,2,top,2026-03-05 13:33:07,2026-03-05 13:31:27,Axios,Trump says he must be involved in picking Iran’s next leader
https://apple.news/AUyVjoZp8Qeuz8sZ8t8E3Tg,3,top,2026-03-05 13:33:07,,Fox News,Mike Johnson asks embattled House Republican Tony Gonzales to drop reelection bid
https://apple.news/AcNw2e0_cS8uZ_ETIVYflnA,4,top,2026-03-05 13:33:07,2026-03-05 13:32:09,STAT,"A month in, TrumpRx falls short of president’s promises"
https://apple.news/AcNw2e0_cS8uZ_ETIVYflnA,5,top,2026-03-05 13:33:07,2026-03-05 13:31:33,STAT,"A month in, TrumpRx falls short of president’s promises"
,plus,top,2026-03-05 13:33:07,2026-03-05 13:30:52,Los Angeles Times,Why California’s heralded wine industry is running dry
https://apple.news/AVEF-zq-mT3qTt238w4r0mA,audio,top,2026-03-05 13:33:07,,Apple News Today,People are fleeing the Gulf. Some will pay any price to get out.
https://apple.news/AKVI4v7x8QAaW3I-daGRAaw,1,trending,2026-03-05 13:33:07,2026-03-05 09:36:01,,"A virus without a vaccine or treatment is hitting California. What you need to know, 4 hours ago, Karen Garcia and Hanna Sender"
https://apple.news/ANRMH-zwDTn6Y-vy4VHqd3Q,2,trending,2026-03-05 13:33:07,2026-03-05 10:36:20,,"CDC Issues Travel Advisory for 32 Countries, Including Several in Europe, Over Spread of Paralyzing Disease, 3 hours ago, Cara Lynn Shultz"
,3,trending,2026-03-05 13:33:07,2026-03-04 16:36:44,,"A ‘slam dunk’ development near Park City still isn’t finished, and people are suing, Apple News Plus, 21 hours ago"
https://apple.news/AwIq5_BHzTVCHaRTNuoaGvg,4,trending,2026-03-05 13:33:07,2026-03-05 11:36:49,,"I'm Dying Laughing At These Scammers Who Thought They Were So, So Smart And Immediately Had Their Entire Lives Ruined, 2 hours ago, Dave Stopera"
